time:262637, score:-358.000000, speed:0.199322
time:263644, score:-360.000000, speed:0.000000
time:264649, score:-360.000000, speed:0.000000
time:265649, score:-357.000000, speed:0.000000
time:266650, score:-357.000000, speed:-0.099711
time:267659, score:-358.000000, speed:0.000000
time:268664, score:-358.000000, speed:0.099621
time:269667, score:-358.000000, speed:0.000000
time:270673, score:-356.000000, speed:0.398406
time:271683, score:-358.000000, speed:0.099532
time:272690, score:-360.000000, speed:-0.198946
time:273693, score:-362.000000, speed:-0.199025
time:274697, score:-363.000000, speed:-0.298537
time:275707, score:-363.000000, speed:-0.596540
time:276709, score:-363.000000, speed:-0.596540
time:277715, score:-365.000000, speed:-0.696171
time:278719, score:-364.000000, speed:-0.596718
time:279727, score:-365.000000, speed:-0.695894
time:280733, score:-366.000000, speed:-0.993937
time:281739, score:-366.000000, speed:-0.795545
time:282749, score:-369.000000, speed:-0.894721
time:283757, score:-369.000000, speed:-0.695479
time:284763, score:-370.000000, speed:-0.695410
time:285771, score:-366.000000, speed:-0.298122
time:286775, score:-367.000000, speed:-0.397338
time:287779, score:-369.000000, speed:-0.397417
time:288788, score:-370.000000, speed:-0.595888
time:289792, score:-367.000000, speed:-0.198689
time:290795, score:-369.000000, speed:-0.298181
time:291804, score:-372.000000, speed:-0.596184
time:292807, score:-374.000000, speed:-0.497117
time:293810, score:-375.000000, speed:-0.596837
time:294813, score:-376.000000, speed:-0.597015
time:295820, score:-378.000000, speed:-1.194030
time:296821, score:-379.000000, speed:-1.194505
time:297825, score:-378.000000, speed:-0.895879
time:298832, score:-379.000000, speed:-0.896057
time:299840, score:-380.000000, speed:-1.293919
time:300840, score:-381.000000, speed:-1.194505
time:301850, score:-382.000000, speed:-0.995421
time:302850, score:-382.000000, speed:-0.796575
time:303853, score:-381.000000, speed:-0.597431
time:304856, score:-380.000000, speed:-0.398287
time:305860, score:-379.000000, speed:-0.099612
time:306864, score:-376.000000, speed:0.298716
time:307874, score:-376.000000, speed:0.199045
time:308880, score:-377.000000, speed:0.199045
time:309883, score:-377.000000, speed:0.298686
time:310888, score:-376.000000, speed:0.497611
